A,f,misfit
1.199999999999999956e+00,1.675000000000000266e+00,3.622354278516272119e-01
1.199999999999999956e+00,1.710000000000000187e+00,3.845468426705639375e-01
1.199999999999999956e+00,1.745000000000000107e+00,4.008401991413182430e-01
1.199999999999999956e+00,1.780000000000000249e+00,4.130028965187352852e-01
1.199999999999999956e+00,1.815000000000000169e+00,4.204962468197176451e-01
1.199999999999999956e+00,1.850000000000000089e+00,4.261944514962897057e-01
1.199999999999999956e+00,1.885000000000000231e+00,4.303578999307442476e-01
1.199999999999999956e+00,1.920000000000000151e+00,4.327401927526442482e-01
1.199999999999999956e+00,1.955000000000000071e+00,4.349916686386839926e-01
1.199999999999999956e+00,1.990000000000000213e+00,4.370036789817438594e-01
1.199999999999999956e+00,2.025000000000000355e+00,4.392558426226443324e-01
1.199999999999999956e+00,2.060000000000000497e+00,4.420524678333629942e-01
1.199999999999999956e+00,2.095000000000000195e+00,4.436484242084964835e-01
1.199999999999999956e+00,2.129999999999999893e+00,4.446080966123363010e-01
1.199999999999999956e+00,2.165000000000000036e+00,4.459206266010433684e-01
1.199999999999999956e+00,2.200000000000000178e+00,4.466278811872130827e-01
1.250000000000000000e+00,8.000000000000000444e-01,4.575015768993338505e-01
1.250000000000000000e+00,8.350000000000000755e-01,4.571540096001543985e-01
1.250000000000000000e+00,8.700000000000001066e-01,4.561604965337394679e-01
1.250000000000000000e+00,9.050000000000000266e-01,4.554348294695051425e-01
1.250000000000000000e+00,9.400000000000000577e-01,4.544248209433284780e-01
1.250000000000000000e+00,9.750000000000000888e-01,4.524978618427983879e-01
1.250000000000000000e+00,1.010000000000000009e+00,4.500286640218535972e-01
1.250000000000000000e+00,1.045000000000000151e+00,4.465994145698267137e-01
1.250000000000000000e+00,1.080000000000000071e+00,4.435006077197689578e-01
1.250000000000000000e+00,1.115000000000000213e+00,4.409855091969986374e-01
1.250000000000000000e+00,1.150000000000000133e+00,4.364556861526683318e-01
1.250000000000000000e+00,1.185000000000000053e+00,4.305030454281933983e-01
1.250000000000000000e+00,1.220000000000000195e+00,4.228176617837509643e-01
1.250000000000000000e+00,1.255000000000000115e+00,4.102525349503294838e-01
1.250000000000000000e+00,1.290000000000000036e+00,3.935302695444259924e-01
1.250000000000000000e+00,1.325000000000000178e+00,3.696706470147690937e-01
1.250000000000000000e+00,1.360000000000000098e+00,3.318161539256689885e-01
1.250000000000000000e+00,1.395000000000000018e+00,2.765433847571924231e-01
1.250000000000000000e+00,1.430000000000000160e+00,1.941332977403033289e-01
1.250000000000000000e+00,1.465000000000000080e+00,9.618479503779178708e-02
1.250000000000000000e+00,1.500000000000000000e+00,4.894782994378274465e-02
1.250000000000000000e+00,1.535000000000000142e+00,9.754664416706300412e-02
1.250000000000000000e+00,1.570000000000000062e+00,1.951444123703752198e-01
1.250000000000000000e+00,1.604999999999999982e+00,2.771613556014381752e-01
1.250000000000000000e+00,1.640000000000000124e+00,3.320102834498372957e-01
1.250000000000000000e+00,1.675000000000000266e+00,3.686007372346802313e-01
1.250000000000000000e+00,1.710000000000000187e+00,3.918415873872091448e-01
1.250000000000000000e+00,1.745000000000000107e+00,4.088145272522574758e-01
1.250000000000000000e+00,1.780000000000000249e+00,4.214841983583145213e-01
1.250000000000000000e+00,1.815000000000000169e+00,4.292893763786691519e-01
1.250000000000000000e+00,1.850000000000000089e+00,4.352254227661197516e-01
1.250000000000000000e+00,1.885000000000000231e+00,4.395628241048923357e-01
1.250000000000000000e+00,1.920000000000000151e+00,4.420440185020040880e-01
1.250000000000000000e+00,1.955000000000000071e+00,4.443893733730545081e-01
1.250000000000000000e+00,1.990000000000000213e+00,4.464858176731805184e-01
1.250000000000000000e+00,2.025000000000000355e+00,4.488316725898146564e-01
